"Kod";"Nazwa";"Wskaźniki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0200000;"DOLNOŚLĄSKIE";"ofiary śmiertelne na 100 tys. ludności";"2013";7,66;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ofiary śmiertelne na 100 tys. ludności";"2014";8,32;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ofiary śmiertelne na 100 tys. ludności";"2015";6,37;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ofiary śmiertelne na 100 tys. ludności";"2016";7,78;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ofiary śmiertelne na 100 tys. ludności";"2017";7,55;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ofiary śmiertelne na 100 tys. ludności";"2018";7,00;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ofiary śmiertelne na 100 tys. ludności";"2019";;"osoba";"n";
0200000;"DOLNOŚLĄSKIE";"ofiary śmiertelne na 100 wypadków";"2002";12,1;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ofiary śmiertelne na 100 wypadków";"2003";12,6;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ofiary śmiertelne na 100 wypadków";"2004";12,4;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ofiary śmiertelne na 100 wypadków";"2005";11,6;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ofiary śmiertelne na 100 wypadków";"2006";11,4;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ofiary śmiertelne na 100 wypadków";"2007";11,5;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ofiary śmiertelne na 100 wypadków";"2008";12,1;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ofiary śmiertelne na 100 wypadków";"2009";11,0;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ofiary śmiertelne na 100 wypadków";"2010";10,5;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ofiary śmiertelne na 100 wypadków";"2011";8,7;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ofiary śmiertelne na 100 wypadków";"2012";7,4;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ofiary śmiertelne na 100 wypadków";"2013";8,6;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ofiary śmiertelne na 100 wypadków";"2014";9,8;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ofiary śmiertelne na 100 wypadków";"2015";8,1;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ofiary śmiertelne na 100 wypadków";"2016";9,7;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ofiary śmiertelne na 100 wypadków";"2017";10,0;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ofiary śmiertelne na 100 wypadków";"2018";9,5;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ofiary śmiertelne na 100 wypadków";"2019";;"osoba";"n";
0200000;"DOLNOŚLĄSKIE";"ranni na 100 tys. pojazdów";"2002";369,67;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ranni na 100 tys. pojazdów";"2003";333,69;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ranni na 100 tys. pojazdów";"2004";341,77;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ranni na 100 tys. pojazdów";"2005";344,80;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ranni na 100 tys. pojazdów";"2006";308,83;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ranni na 100 tys. pojazdów";"2007";312,30;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ranni na 100 tys. pojazdów";"2008";270,65;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ranni na 100 tys. pojazdów";"2009";231,53;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ranni na 100 tys. pojazdów";"2010";187,10;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ranni na 100 tys. pojazdów";"2011";226,80;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ranni na 100 tys. pojazdów";"2012";235,57;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ranni na 100 tys. pojazdów";"2013";180,12;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ranni na 100 tys. pojazdów";"2014";162,26;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ranni na 100 tys. pojazdów";"2015";147,25;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ranni na 100 tys. pojazdów";"2016";137,80;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ranni na 100 tys. pojazdów";"2017";125,80;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ranni na 100 tys. pojazdów";"2018";117,57;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ranni na 100 tys. pojazdów";"2019";;"osoba";"n";
0200000;"DOLNOŚLĄSKIE";"ranni na 100 wypadków";"2002";122,6;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ranni na 100 wypadków";"2003";119,7;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ranni na 100 wypadków";"2004";123,4;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ranni na 100 wypadków";"2005";129,9;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ranni na 100 wypadków";"2006";130,6;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ranni na 100 wypadków";"2007";139,2;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ranni na 100 wypadków";"2008";136,9;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ranni na 100 wypadków";"2009";136,7;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ranni na 100 wypadków";"2010";135,0;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ranni na 100 wypadków";"2011";133,9;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ranni na 100 wypadków";"2012";132,6;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ranni na 100 wypadków";"2013";130,9;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ranni na 100 wypadków";"2014";127,9;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ranni na 100 wypadków";"2015";130,2;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ranni na 100 wypadków";"2016";125,1;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ranni na 100 wypadków";"2017";125,9;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ranni na 100 wypadków";"2018";124,5;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ranni na 100 wypadków";"2019";;"osoba";"n";
0201000;"Powiat bolesławiecki";"wypadki drogowe na 100 tys. ludności";"2002";;"osoba";"";
0201000;"Powiat bolesławiecki";"wypadki drogowe na 100 tys. ludności";"2003";;"osoba";"";
0201000;"Powiat bolesławiecki";"wypadki drogowe na 100 tys. ludności";"2004";;"osoba";"";
0201000;"Powiat bolesławiecki";"wypadki drogowe na 100 tys. ludności";"2005";;"osoba";"";
0201000;"Powiat bolesławiecki";"wypadki drogowe na 100 tys. ludności";"2006";;"osoba";"";
0201000;"Powiat bolesławiecki";"wypadki drogowe na 100 tys. ludności";"2007";;"osoba";"";
0201000;"Powiat bolesławiecki";"wypadki drogowe na 100 tys. ludności";"2008";;"osoba";"";
0201000;"Powiat bolesławiecki";"wypadki drogowe na 100 tys. ludności";"2009";;"osoba";"";
0201000;"Powiat bolesławiecki";"wypadki drogowe na 100 tys. ludności";"2010";;"osoba";"";
0201000;"Powiat bolesławiecki";"wypadki drogowe na 100 tys. ludności";"2011";54,1;"osoba";"";
0201000;"Powiat bolesławiecki";"wypadki drogowe na 100 tys. ludności";"2012";77,4;"osoba";"";
0201000;"Powiat bolesławiecki";"wypadki drogowe na 100 tys. ludności";"2013";74,2;"osoba";"";
0201000;"Powiat bolesławiecki";"wypadki drogowe na 100 tys. ludności";"2014";77,5;"osoba";"";
0201000;"Powiat bolesławiecki";"wypadki drogowe na 100 tys. ludności";"2015";87,5;"osoba";"";
0201000;"Powiat bolesławiecki";"wypadki drogowe na 100 tys. ludności";"2016";93,1;"osoba";"";
0201000;"Powiat bolesławiecki";"wypadki drogowe na 100 tys. ludności";"2017";57,6;"osoba";"";
0201000;"Powiat bolesławiecki";"wypadki drogowe na 100 tys. ludności";"2018";69,9;"osoba";"";
0201000;"Powiat bolesławiecki";"wypadki drogowe na 100 tys. ludności";"2019";;"osoba";"n";
0201000;"Powiat bolesławiecki";"ofiary śmiertelne na 100 tys. pojazdów";"2002";;"osoba";"";
0201000;"Powiat bolesławiecki";"ofiary śmiertelne na 100 tys. pojazdów";"2003";;"osoba";"";
0201000;"Powiat bolesławiecki";"ofiary śmiertelne na 100 tys. pojazdów";"2004";;"osoba";"";
0201000;"Powiat bolesławiecki";"ofiary śmiertelne na 100 tys. pojazdów";"2005";;"osoba";"";
0201000;"Powiat bolesławiecki";"ofiary śmiertelne na 100 tys. pojazdów";"2006";;"osoba";"";
0201000;"Powiat bolesławiecki";"ofiary śmiertelne na 100 tys. pojazdów";"2007";;"osoba";"";
0201000;"Powiat bolesławiecki";"ofiary śmiertelne na 100 tys. pojazdów";"2008";;"osoba";"";
0201000;"Powiat bolesławiecki";"ofiary śmiertelne na 100 tys. pojazdów";"2009";;"osoba";"";
0201000;"Powiat bolesławiecki";"ofiary śmiertelne na 100 tys. pojazdów";"2010";;"osoba";"";
0201000;"Powiat bolesławiecki";"ofiary śmiertelne na 100 tys. pojazdów";"2011";24,28;"osoba";"";
0201000;"Powiat bolesławiecki";"ofiary śmiertelne na 100 tys. pojazdów";"2012";18,27;"osoba";"";
0201000;"Powiat bolesławiecki";"ofiary śmiertelne na 100 tys. pojazdów";"2013";23,76;"osoba";"";
0201000;"Powiat bolesławiecki";"ofiary śmiertelne na 100 tys. pojazdów";"2014";22,71;"osoba";"";
0201000;"Powiat bolesławiecki";"ofiary śmiertelne na 100 tys. pojazdów";"2015";9,81;"osoba";"";
0201000;"Powiat bolesławiecki";"ofiary śmiertelne na 100 tys. pojazdów";"2016";20,23;"osoba";"";
0201000;"Powiat bolesławiecki";"ofiary śmiertelne na 100 tys. pojazdów";"2017";19,28;"osoba";"";
0201000;"Powiat bolesławiecki";"ofiary śmiertelne na 100 tys. pojazdów";"2018";11,64;"osoba";"";
0201000;"Powiat bolesławiecki";"ofiary śmiertelne na 100 tys. pojazdów";"2019";;"osoba";"n";
0201000;"Powiat bolesławiecki";"ofiary śmiertelne na 100 tys. ludności";"2002";;"osoba";"";
0201000;"Powiat bolesławiecki";"ofiary śmiertelne na 100 tys. ludności";"2003";;"osoba";"";
0201000;"Powiat bolesławiecki";"ofiary śmiertelne na 100 tys. ludności";"2004";;"osoba";"";
0201000;"Powiat bolesławiecki";"ofiary śmiertelne na 100 tys. ludności";"2005";;"osoba";"";
0201000;"Powiat bolesławiecki";"ofiary śmiertelne na 100 tys. ludności";"2006";;"osoba";"";
0201000;"Powiat bolesławiecki";"ofiary śmiertelne na 100 tys. ludności";"2007";;"osoba";"";
0201000;"Powiat bolesławiecki";"ofiary śmiertelne na 100 tys. ludności";"2008";;"osoba";"";
0201000;"Powiat bolesławiecki";"ofiary śmiertelne na 100 tys. ludności";"2009";;"osoba";"";
0201000;"Powiat bolesławiecki";"ofiary śmiertelne na 100 tys. ludności";"2010";;"osoba";"";
0201000;"Powiat bolesławiecki";"ofiary śmiertelne na 100 tys. ludności";"2011";11,05;"osoba";"";
0201000;"Powiat bolesławiecki";"ofiary śmiertelne na 100 tys. ludności";"2012";8,84;"osoba";"";
0201000;"Powiat bolesławiecki";"ofiary śmiertelne na 100 tys. ludności";"2013";12,18;"osoba";"";
0201000;"Powiat bolesławiecki";"ofiary śmiertelne na 100 tys. ludności";"2014";12,18;"osoba";"";
0201000;"Powiat bolesławiecki";"ofiary śmiertelne na 100 tys. ludności";"2015";5,54;"osoba";"";
0201000;"Powiat bolesławiecki";"ofiary śmiertelne na 100 tys. ludności";"2016";12,20;"osoba";"";
0201000;"Powiat bolesławiecki";"ofiary śmiertelne na 100 tys. ludności";"2017";12,19;"osoba";"";
0201000;"Powiat bolesławiecki";"ofiary śmiertelne na 100 tys. ludności";"2018";7,76;"osoba";"";
0201000;"Powiat bolesławiecki";"ofiary śmiertelne na 100 tys. ludności";"2019";;"osoba";"n";
0201000;"Powiat bolesławiecki";"ofiary śmiertelne na 100 wypadków";"2002";;"osoba";"";
0201000;"Powiat bolesławiecki";"ofiary śmiertelne na 100 wypadków";"2003";;"osoba";"";
0201000;"Powiat bolesławiecki";"ofiary śmiertelne na 100 wypadków";"2004";;"osoba";"";
0201000;"Powiat bolesławiecki";"ofiary śmiertelne na 100 wypadków";"2005";;"osoba";"";
0201000;"Powiat bolesławiecki";"ofiary śmiertelne na 100 wypadków";"2006";;"osoba";"";
0201000;"Powiat bolesławiecki";"ofiary śmiertelne na 100 wypadków";"2007";;"osoba";"";
0201000;"Powiat bolesławiecki";"ofiary śmiertelne na 100 wypadków";"2008";;"osoba";"";
0201000;"Powiat bolesławiecki";"ofiary śmiertelne na 100 wypadków";"2009";;"osoba";"";
0201000;"Powiat bolesławiecki";"ofiary śmiertelne na 100 wypadków";"2010";;"osoba";"";
0201000;"Powiat bolesławiecki";"ofiary śmiertelne na 100 wypadków";"2011";20,4;"osoba";"";
0201000;"Powiat bolesławiecki";"ofiary śmiertelne na 100 wypadków";"2012";11,4;"osoba";"";
0201000;"Powiat bolesławiecki";"ofiary śmiertelne na 100 wypadków";"2013";16,4;"osoba";"";
0201000;"Powiat bolesławiecki";"ofiary śmiertelne na 100 wypadków";"2014";15,7;"osoba";"";
0201000;"Powiat bolesławiecki";"ofiary śmiertelne na 100 wypadków";"2015";6,3;"osoba";"";
0201000;"Powiat bolesławiecki";"ofiary śmiertelne na 100 wypadków";"2016";13,1;"osoba";"";
0201000;"Powiat bolesławiecki";"ofiary śmiertelne na 100 wypadków";"2017";21,2;"osoba";"";
0201000;"Powiat bolesławiecki";"ofiary śmiertelne na 100 wypadków";"2018";11,1;"osoba";"";
0201000;"Powiat bolesławiecki";"ofiary śmiertelne na 100 wypadków";"2019";;"osoba";"n";
0201000;"Powiat bolesławiecki";"ranni na 100 tys. pojazdów";"2002";;"osoba";"";
0201000;"Powiat bolesławiecki";"ranni na 100 tys. pojazdów";"2003";;"osoba";"";
0201000;"Powiat bolesławiecki";"ranni na 100 tys. pojazdów";"2004";;"osoba";"";
0201000;"Powiat bolesławiecki";"ranni na 100 tys. pojazdów";"2005";;"osoba";"";
0201000;"Powiat bolesławiecki";"ranni na 100 tys. pojazdów";"2006";;"osoba";"";
0201000;"Powiat bolesławiecki";"ranni na 100 tys. pojazdów";"2007";;"osoba";"";
0201000;"Powiat bolesławiecki";"ranni na 100 tys. pojazdów";"2008";;"osoba";"";
0201000;"Powiat bolesławiecki";"ranni na 100 tys. pojazdów";"2009";;"osoba";"";
0201000;"Powiat bolesławiecki";"ranni na 100 tys. pojazdów";"2010";;"osoba";"";
0201000;"Powiat bolesławiecki";"ranni na 100 tys. pojazdów";"2011";145,71;"osoba";"";
0201000;"Powiat bolesławiecki";"ranni na 100 tys. pojazdów";"2012";191,84;"osoba";"";
0201000;"Powiat bolesławiecki";"ranni na 100 tys. pojazdów";"2013";194,44;"osoba";"";
0201000;"Powiat bolesławiecki";"ranni na 100 tys. pojazdów";"2014";189,92;"osoba";"";
0201000;"Powiat bolesławiecki";"ranni na 100 tys. pojazdów";"2015";215,84;"osoba";"";
0201000;"Powiat bolesławiecki";"ranni na 100 tys. pojazdów";"2016";185,77;"osoba";"";
0201000;"Powiat bolesławiecki";"ranni na 100 tys. pojazdów";"2017";113,94;"osoba";"";
0201000;"Powiat bolesławiecki";"ranni na 100 tys. pojazdów";"2018";126,38;"osoba";"";
0201000;"Powiat bolesławiecki";"ranni na 100 tys. pojazdów";"2019";;"osoba";"n";
